Datum,Naziv,Prejemnik,Darovalec,Tip darila,Način izročitve,Vrednost,Način določitve vrednosti,Razlog za izročitev,gift_owner,date_str,recipient_org,recipient,donor,gift_type,delivery_type,Description,value_determination_method,occasion,Date,donor_geo,Countries_donors,Year,Month,Year_Month,Countries_donors_2
2014-01-10,MINISTRSTVO ZA ZUNANJE ZADEVE,funkcionar,ZUNANJI MINISTER KOSOVA G. HOXHAJ,protokolarno,neposredno,40,OSEBNA NESTROKOVNA OCENA,OBISK MZZ RS V TURČIJI IN MEŠANA GOSPODARSKA KOMISIJA SLO-TURČIJA,organization official holds position,2014-01-10,ministry foreign affairs,functionary,foreign minister kosovo mr. hoxhaj,protocol,directly,sculpture (relief) kosova wooden base,personal non-professional assessment,visit mfa rs turkey joint slo-turkey economic commission,2014-01-10,[],[],2014,1,2014-01,[]
2014-01-10,MINISTRSTVO ZA ZUNANJE ZADEVE,funkcionar,"g. erlan idrissov, minister za zunanje zadeve kazahstana",protokolarno,neposredno,40,OSEBNA NESTROKOVNA OCENA,OBISK MZZ RS V TURČIJI IN MEŠANA GOSPODARSKA KOMISIJA SLO-TURČIJA,organization official holds position,2014-01-10,ministry foreign affairs,functionary,"mr. erlan idrissov, minister foreign affairs kazakhstan",protocol,directly,statuette eagle motif,personal non-professional assessment,visit mfa rs turkey joint slo-turkey economic commission,2014-01-10,[],[],2014,1,2014-01,[]
2014-01-10,MINISTRSTVO ZA ZUNANJE ZADEVE,funkcionar,lavrov zunanji minister ruske federacije,protokolarno,neposredno,40,osebna nestrokovna ocena,povratni obisk delegacije odbora za kmetijstvo na češkem,organization official holds position,2014-01-10,ministry foreign affairs,functionary,"lavrov, foreign minister russian federation",protocol,directly,ceramic vase floral motif,personal non-professional assessment,return visit delegation committee agriculture czech republic,2014-01-10,[],[],2014,1,2014-01,[]
2014-01-16,MINISTRSTVO ZA ZUNANJE ZADEVE,funkcionar,ministrstvo za zunanje zadeve indije,protokolarno,neposredno,40,osebna nestrokovna ocena,povratni obisk delegacije odbora za kmetijstvo na češkem,organization official holds position,2014-01-16,ministry foreign affairs,functionary,ministry external affairs india,protocol,directly,decorative plate stand (diameter 30 cm),personal non-professional assessment,return visit delegation committee agriculture czech republic,2014-01-16,['india'],['india'],2014,1,2014-01,['india']
2014-01-16,MINISTRSTVO ZA ZUNANJE ZADEVE,funkcionar,veleposlaništvo gruzije,priložnostno,posredno,40,lastna nestrokovna ocena,poslovno darilo,organization official holds position,2014-01-16,ministry foreign affairs,functionary,embassy georgia,occasional,indirectly,"figurine (brass, stone) tree motif, height 20 cm",non-expert assessment,buisnes gift,2014-01-16,['georgia'],['georgia'],2014,1,2014-01,['georgia']
2014-01-27,OBČINA KRŠKO,državni organ/lokalna skupnost/nosilec javnih pooblastil,ARISTOTEL ZDRAVSTVENI CENTER,protokolarno,neposredno,40,lastna nestrokovna ocena,poslovno darilo,organization official holds position,2014-01-27,municipality krško,state body/local community/holder public authority,aristotel healthcare center,protocol,directly,gift certificate,non-expert assessment,buisnes gift,2014-01-27,[],[],2014,1,2014-01,[]
2014-02-17,BANKA SLOVENIJE,funkcionar,"MARCELLO SALA, INTESA SAN PAOLO",priložnostno,neposredno,40,OKVIRNA OCENJENA VREDNOST,"SREČANJE S PISATELJEM, ZAKLJUČEK BRALNE ZNAČKE",organization official holds position,2014-02-17,bank slovenia,functionary,"marcello sala, intesa san paolo",occasional,directly,"greetings, magic whistle book, 3xcd opera",approximate assessed value,"meeting writer, end reading badge",2014-02-17,"['sala', 'intesa']","['sala', 'intesa']",2014,2,2014-02,"['sala', 'intesa']"
2014-02-17,BANKA SLOVENIJE,funkcionar,"IGNACIO JAQUOTOT, INTESA SAN PAOLO",priložnostno,neposredno,40,"POIZVEDOVANJE PREKO INTERNETA PRI ZALOŽBI, KI JE KNJIGO IZDALA",SREČANJE V4+3 IN SEJMU INTERNATIONAL FOOD FAIR,organization official holds position,2014-02-17,bank slovenia,functionary,"ignacio jaquotot, intesa san paolo",occasional,directly,greetings la travita book 3xcd opera,internet inquiry publisher published book,v4+3 meeting international food fair,2014-02-17,['intesa'],['intesa'],2014,2,2014-02,['intesa']
2014-02-17,KABINET PREDSEDNIKA VLADE REPUBLIKE SLOVENIJE,funkcionar,"dr. peter kaiser, koroški deželni glavar",priložnostno,posredno,40,OSEBNA NESTROKOVNA OCENA,70 LET PRAZNOVANJA ISKRATELA,organization official holds position,2014-02-17,cabinet president government republic slovenia,functionary,"dr. peter kaiser, governor carinthia",occasional,indirectly,"book ""kärten carinthia""",personal non-professional assessment,70 years celebration iskratela,2014-02-17,[],[],2014,2,2014-02,[]
2014-02-17,KABINET PREDSEDNIKA VLADE REPUBLIKE SLOVENIJE,funkcionar,"g. michael häupl, župan mesta dunaj",protokolarno,posredno,40,OSEBNA NESTROKOVNA OCENA,OB 13. OBLETNICI DEKLICE Z RASTOČO KNJIGO,organization official holds position,2014-02-17,cabinet president government republic slovenia,functionary,"mr. michael häupl, mayor vienna",protocol,indirectly,commemorative medallion city vienna,personal non-professional assessment,13th anniversary girl growing book,2014-02-17,[],[],2014,2,2014-02,[]
2014-02-17,KABINET PREDSEDNIKA VLADE REPUBLIKE SLOVENIJE,funkcionar,"ga. mimoza ahmetaj, veleposlanica Kosova v republiki sloveniji",priložnostno,posredno,40,osebna nestrokovna ocena,dogodek: CICIOLIMPIJADA OŠ BISTRICE OB SOTLI,country,2014-02-17,cabinet president government republic slovenia,functionary,"mrs. mimosa ahmetaj, ambassador kosovo republic slovenia",occasional,indirectly,book,personal non-professional assessment,event: ciciolympiad bistrice ob sotli school,2014-02-17,['kosovo republic'],['kosovo republic'],2014,2,2014-02,['kosovo republic']
2014-02-18,KABINET PREDSEDNIKA VLADE REPUBLIKE SLOVENIJE,funkcionar,"g. janez ferkolj, župnik župnije bled",protokolarno,posredno,40,OSEBNA NESTROKOVNA OCENA,SPREJEM ORGANIZATORJEV POHODA PO MEDVEDOVIH STOPINJAH,country,2014-02-18,cabinet president government republic slovenia,functionary,"mr. janez ferkolj, parish priest bled",protocol,indirectly,"gift package: calendar, candle, memorial bell, coffee mug",personal non-professional assessment,reception organizers bear's steps walk,2014-02-18,[],[],2014,2,2014-02,[]
2014-02-18,KABINET PREDSEDNIKA VLADE REPUBLIKE SLOVENIJE,funkcionar,"lastnica restavracije plavi podrum, volosko",priložnostno,posredno,40,osebna nestrokovna ocena,sprejem,country,2014-02-18,cabinet president government republic slovenia,functionary,"owner restaurant plavi podrum, volosko",occasional,indirectly,earrings,personal non-professional assessment,reception,2014-02-18,[],[],2014,2,2014-02,[]
2014-02-18,KABINET PREDSEDNIKA VLADE REPUBLIKE SLOVENIJE,funkcionar,njuna kraljeva visokost grof wesseški in grofica wesseška,protokolarno,neposredno,40,vrednosti z nestrokovno oceno ni mogoče določioti,uradni obisk predsednika državnega zbora v izraelu in palestini,organization official holds position,2014-02-18,cabinet president government republic slovenia,functionary,royal highnesses earl wessex countess wessex,protocol,directly,framed photograph earl wessex countess wessex,value cannot determined non-expert assessment,official visit speaker national assembly israel palestine,2014-02-18,[],[],2014,2,2014-02,[]
2014-02-18,KABINET PREDSEDNIKA VLADE REPUBLIKE SLOVENIJE,funkcionar,"g. slavko despotović, predsednik uprave podjetja peko d.d.",priložnostno,posredno,40,vrednosti z nestrokovno oceno ni mogoče določiti,uradni obisk predsednika državnega zbora v izraelu in palestini,organization official holds position,2014-02-18,cabinet president government republic slovenia,functionary,"mr. slavko despotović, president board peko d.d.",occasional,indirectly,women's leather bag made leftover material,value cannot determined non-expert assessment,official visit speaker national assembly israel palestine,2014-02-18,[],[],2014,2,2014-02,[]
2014-02-21,KABINET PREDSEDNIKA VLADE REPUBLIKE SLOVENIJE,funkcionar,NAMESTNIK PREDSEDUJOČEGA SVETU MINISTROV IN MZZ BOSNE IN HERCEGOVINE DR. ZLATKO LAGUMDŽIJA,protokolarno,posredno,40,vrednosti z nestrokovno oceno ni mogoče določiti,uradni obisk predsednika državnega zbora v izraelu in palestini,organization official holds position,2014-02-21,cabinet president government republic slovenia,functionary,deputy president council ministers mfa bosnia herzegovina dr. zlatko lagumdžija,protocol,indirectly,"framed knock, symbol city sarajevo",value cannot determined non-expert assessment,official visit speaker national assembly israel palestine,2014-02-21,['mfa bosnia herzegovina dr.'],['mfa bosnia herzegovina dr.'],2014,2,2014-02,['mfa bosnia herzegovina dr.']
2014-02-28,KABINET PREDSEDNIKA VLADE REPUBLIKE SLOVENIJE,funkcionar,MINISTER ZA OBRAMBO ITALIJANSKE REPUBLIKE SENATOR PROF. MARIO MAURO,protokolarno,neposredno,40,laična ocena,uradni obisk predsednika računskega sodišča na vri srbije,organization official holds position,2014-02-28,cabinet president government republic slovenia,functionary,minister defense italian republic senator prof. mario mauro,protocol,directly,ceramic statuette,layman's assessment,official visit president court audit serbia,2014-02-28,[],[],2014,2,2014-02,[]
2014-02-28,KABINET PREDSEDNIKA VLADE REPUBLIKE SLOVENIJE,funkcionar,član društva študentskega kluba fakultete za družbene vede gospod žan pajtler,priložnostno,neposredno,40,OSEBNA NESTROKOVNA OCENA,OBISK SLOVENSKE SKUPNOSTI V bELGIJI,organization official holds position,2014-02-28,cabinet president government republic slovenia,functionary,"member student club faculty social sciences, mr. žan pajtler",occasional,directly,"2 books: ""among trees"" (hanno hardt) ""50 years social science""",personal non-professional assessment,visit slovak community belgium,2014-02-28,[],[],2014,2,2014-02,[]
2014-03-03,MESTNA OBČINA VELENJE,državni organ/lokalna skupnost/nosilec javnih pooblastil,"agm nemec, sedraž 7, laško",priložnostno,neposredno,40,OSEBNA NESTROKOVNA OCENA,oBISK PRI SLOVENSKIH DRUŠTVIH V BELGIJI,organization official holds position,2014-03-03,municipality velenje,state body/local community/holder public authority,"agm german, sedraž 7, laško",occasional,directly,"home-style gift set (cutting board, rustic prosciutto kraš, dry salami, merlot wine)",personal non-professional assessment,visit slovenian societies belgium,2014-03-03,[],[],2014,3,2014-03,[]
2014-03-03,MESTNA OBČINA VELENJE,državni organ/lokalna skupnost/nosilec javnih pooblastil,"občina ulcinj, črna gora",protokolarno,neposredno,40,nestROKOVNA OCENA,URADNO SREČANJE US R SLOVENIJE IN US R HRVAŠKE,organization official holds position,2014-03-03,municipality velenje,state body/local community/holder public authority,"municipality ulcinj, črna gora",protocol,directly,"dry red wine 1 l, unique ceramic boat",non-professional assessment,official meeting us r slovenia us r croatia,2014-03-03,[],[],2014,3,2014-03,[]
2014-03-04,OBČINA HRPELJE - KOZINA,državni organ/lokalna skupnost/nosilec javnih pooblastil,POBRATENA OBČINA NOVACI MAKEDONIJA,priložnostno,neposredno,40,OCENJENA VREDNOST,KNJIŽNICA ŠOLE,organization official holds position,2014-03-04,hrpelje municipality - kozina,state body/local community/holder public authority,twin municipality novaci macedonia,occasional,directly,picture - characteristic church municipality novaci,estimated value,school library,2014-03-04,[],[],2014,3,2014-03,[]
2014-03-12,KABINET PREDSEDNIKA VLADE REPUBLIKE SLOVENIJE,funkcionar,minister za zunanje zadeve in sodelovanje kraljevine španije jose manuel garcia margallo y marfil,protokolarno,posredno,40,osebna nestrokovna ocena,uradni obisk v litvi,country,2014-03-12,cabinet president government republic slovenia,functionary,minister foreign affairs cooperation kingdom spain jose manuel garcia margallo marfil,protocol,indirectly,cloak,personal non-professional assessment,official visit lithuania,2014-03-12,['spain'],['spain'],2014,3,2014-03,['spain']
2014-03-12,"MESTNA OBČINA CELJE, CELJE",državni organ/lokalna skupnost/nosilec javnih pooblastil,elektro celje,priložnostno,neposredno,40,OSEBNA NESTROKOVNA OCENA,URADNI OBISK V LITVI,country,2014-03-12,"municipality celje, celje",state body/local community/holder public authority,electrical appliances,occasional,directly,2x book: 100 years electro celje,personal non-professional assessment,official visit lithuania,2014-03-12,[],[],2014,3,2014-03,[]
2014-03-12,URAD PREDSEDNIKA REPUBLIKE SLOVENIJE,funkcionar,janez škrabec,protokolarno,neposredno,40,OSEBNA NESTROKOVNA OCENA,URADNI OBISK V REPUBLIKI LITVI,country,2014-03-12,office president republic slovenia,functionary,john scribbler,protocol,directly,clock crystal base rogaška slatina,personal non-professional assessment,official visit republic lithuania,2014-03-12,[],[],2014,3,2014-03,[]
2014-03-12,URAD PREDSEDNIKA REPUBLIKE SLOVENIJE,funkcionar,"helena drnovšek, veleposlanica na japonskem",protokolarno,neposredno,40,cena navedena na knjigi,knjiga predana ob srečanju,organization official holds position,2014-03-12,office president republic slovenia,functionary,"helena drnovšek, ambassador japan",protocol,directly,bonsai picture frame,price indicated book,book handed meeting,2014-03-12,['japan'],['japan'],2014,3,2014-03,['japan']
2014-03-12,URAD PREDSEDNIKA REPUBLIKE SLOVENIJE,funkcionar,"GEORGIO NAPOLITANO, PREDSEDNIK ITALIJANSKE REPUBLIKE",protokolarno,neposredno,40,vrednosti z nestrokovno oceno ni mogoče določiti,uradni obisk predsednika parlamenta portugalske,organization official holds position,2014-03-12,office president republic slovenia,functionary,"georgio napolitano, president italian republic",protocol,directly,bronze medallion,value cannot determined non-expert assessment,official visit president parliament portugal,2014-03-12,[],[],2014,3,2014-03,[]
2014-03-12,URAD PREDSEDNIKA REPUBLIKE SLOVENIJE,funkcionar,"SRI SRI SHANKAR,SOUSTANOVITELJ SVETOVNEGA FORUMA ZA POSLOVNO ETIKO, USTANOVITELJ MEDNARODNEGA ZDRUŽENJA ZA ČLOVEKOVE VREDNOTE IN USTANOVITELJ MEDNARODNE ART OF LIVING FUNDACIJE",protokolarno,neposredno,40,nestrokovna ocena,srečanje predsednika parlamenta portugalske s predsednikom vlade republiki slovenije ob uradnem obisku v sloveniji,country,2014-03-12,office president republic slovenia,functionary,"sri sri shankar, co-founder world forum business ethics, founder international association human values founder international art living foundation",protocol,directly,silk scarf,non-professional assessment,meeting speaker parliament portugal prime minister republic slovenia official visit slovenia,2014-03-12,[],[],2014,3,2014-03,[]
2014-03-12,URAD PREDSEDNIKA REPUBLIKE SLOVENIJE,funkcionar,ŽUPAN MESTNE OBČINE VELENJE BOJAN KONTIČ,protokolarno,neposredno,40,OSEBNA NESTROKOVNA OCENA,SPREJEM GOSTA V MESTNI HIŠI,local community,2014-03-12,office president republic slovenia,functionary,mayor velenje city municipality bojan kontic,protocol,directly,weight loader,personal non-professional assessment,guest reception city hall,2014-03-12,['velenje city'],['velenje city'],2014,3,2014-03,['velenje city']
2014-03-12,URAD PREDSEDNIKA REPUBLIKE SLOVENIJE,funkcionar,"EMIL MARINŠEK, DIREKTOR MAREMICO D.O.O.",protokolarno,neposredno,40,osebna nestrokovna ocena,sprejem,country,2014-03-12,office president republic slovenia,functionary,"emil marinšek, director maremico d.o.o.",protocol,directly,pillow,personal non-professional assessment,reception,2014-03-12,[],[],2014,3,2014-03,[]
2014-03-13,URAD PREDSEDNIKA REPUBLIKE SLOVENIJE,funkcionar,"vojko korošec, predsednik organizacije škl",protokolarno,neposredno,40,NA PODLAGI PODATKA DAROVALCA,OBLETNICA ROJSTVA PRIMOŽA TRUBARJA,organization official holds position,2014-03-13,office president republic slovenia,functionary,"vojko korošec, president organization škl",protocol,directly,plaque print thanks cooperation,based donor information,anniversary birth primoz trubar,2014-03-13,[],[],2014,3,2014-03,[]
2014-03-13,URAD PREDSEDNIKA REPUBLIKE SLOVENIJE,funkcionar,"josip leko, pdz republike hrvaške",protokolarno,neposredno,40,osebna nestrokovna ocena,zahvala občini za nakup gasilskega vozila in prikolice,local community,2014-03-13,office president republic slovenia,functionary,"josip leko, pdz republic croatia",protocol,directly,glass fountain,personal non-professional assessment,thanks municipality purchase fire truck trailer,2014-03-13,[],[],2014,3,2014-03,[]
2014-03-13,URAD PREDSEDNIKA REPUBLIKE SLOVENIJE,funkcionar,"stefano balloch, župan občine čedad v italijanski republiki",protokolarno,neposredno,40,OSEBNA NESTROKOVNA OCENA,UDELEŽBA NA SLAVNOSTNI AKADEMIJI OB 160. LETNICI ŠOLSTVA V ODRANCIH,country,2014-03-13,office president republic slovenia,functionary,"stefano balloch, mayor municipality cedad italian republic",protocol,directly,medallion,personal non-professional assessment,participation ceremony academy 160th anniversary education odranci,2014-03-13,[],[],2014,3,2014-03,[]
2014-03-13,URAD PREDSEDNIKA REPUBLIKE SLOVENIJE,funkcionar,"jurij vorbjov, namestnik sveta federacije federalnega zbora ruske federacije",protokolarno,neposredno,40,osebna nestrokovna ocena,bilateralna konferenca županov v šentilju,local community,2014-03-13,office president republic slovenia,functionary,"yury vorbyov, deputy federation council federal assembly russian federation",protocol,directly,glass watch wooden box,personal non-professional assessment,bilateral conference mayors šentilje,2014-03-13,[],[],2014,3,2014-03,[]
2014-03-14,URAD PREDSEDNIKA REPUBLIKE SLOVENIJE,funkcionar,"naser al - tamimi, svetovna judo zveza",protokolarno,neposredno,40,lastna nestrokovna ocena,poslovno darilo,organization official holds position,2014-03-14,office president republic slovenia,functionary,"naser al-tamimi, world judo federation",protocol,directly,gilt medallion,non-expert assessment,buisnes gift,2014-03-14,[],[],2014,3,2014-03,[]
2014-03-14,URAD PREDSEDNIKA REPUBLIKE SLOVENIJE,funkcionar,tina vehovar,protokolarno,neposredno,40,-,protokolarno darilo ob podpisu listine o prijateljstvu,local community,2014-03-14,office president republic slovenia,functionary,tina vehovar,protocol,directly,picture tine vehovar,,protocol gift upon signing friendship document,2014-03-14,[],[],2014,3,2014-03,[]
2014-03-14,URAD PREDSEDNIKA REPUBLIKE SLOVENIJE,funkcionar,"prof.dr. jasna omejc, predsednica ustavnega sodišča hrvaške",protokolarno,neposredno,40,osebna nestrokovna ocena,mednarodna konferenca,organization official holds position,2014-03-14,office president republic slovenia,functionary,"prof. dr. jasna omejc, president constitutional court croatia",protocol,directly,medallion constitutional court republic croatia,personal non-professional assessment,international conference,2014-03-14,[],[],2014,3,2014-03,[]
2014-03-27,MESTNA OBČINA NOVA GORICA,državni organ/lokalna skupnost/nosilec javnih pooblastil,"mesto tula, ruska federacija",protokolarno,neposredno,40,osebna nestrokovna ocena,mednarodna konferenca,organization official holds position,2014-03-27,municipality nova gorica,state body/local community/holder public authority,"tula city, russian federation",protocol,directly,russian samovar teapot,personal non-professional assessment,international conference,2014-03-27,['tula city'],['tula city'],2014,3,2014-03,['tula city']
2014-03-31,MESTNA OBČINA LJUBLJANA,funkcionar,"Kadir Topbas, župan mesta Istanbul",protokolarno,neposredno,40,OSEBNA NESTROKOVNA OCENA,SPREJEM V MESTNI HIŠI V KIJEVU,organization official holds position,2014-03-31,municipality ljubljana,functionary,"kadir topbas, mayor istanbul",protocol,directly,plate; book: istanbul-city om memories&hopes; memorial album,personal non-professional assessment,reception city hall kyiv,2014-03-31,[],[],2014,3,2014-03,[]
2014-03-31,MESTNA OBČINA LJUBLJANA,funkcionar,"Gospod Levent Cakiroglu, CEO of Arcelik, Istanbul",protokolarno,neposredno,40,STROKOVNA OCENA,SPREJEM PRI PREDSEDNIKU OB DNEVU DRŽAVNOSTI,country,2014-03-31,municipality ljubljana,functionary,"mr. levent cakiroglu, ceo arcelik, istanbul",protocol,directly,"plate, book mirror industrial legacy",expert assessment,reception president's day nationality day,2014-03-31,[],[],2014,3,2014-03,[]
2014-03-31,MESTNA OBČINA LJUBLJANA,funkcionar,"Marjan Rožman, Ob Ljubljanici 42, 1000 Ljubljana",priložnostno,posredno,40,osebna nestrokovna ocena,OGLED sTADIONA SANTIAGO BERNABEU OB SREČANJU Z LUKO DONČIćEM,country,2014-03-31,municipality ljubljana,functionary,"marjan rožman, ob ​​ljubljanica 42, 1000 ljubljana",occasional,indirectly,"painting, oil canvas (author's work)",personal non-professional assessment,tour santiago bernabeu stadium meeting luka dončič,2014-03-31,['marjan'],['marjan'],2014,3,2014-03,['marjan']
2014-03-31,MESTNA OBČINA LJUBLJANA,funkcionar,"Gospod Mohamed Saif Al Afkham, generalni direktor Mestne občine Fujairah",protokolarno,neposredno,40,OSEBNA NESTROKOVNA OCENA,OBISK MZZ RS NA ŠVEDSKEM,organization official holds position,2014-03-31,municipality ljubljana,functionary,"mr. mohamed saif al afkham, general manager fujairah municipality",protocol,directly,fujairah city plaque; photo,personal non-professional assessment,visit mfa rs sweden,2014-03-31,[],[],2014,3,2014-03,[]
2014-03-31,MESTNA OBČINA LJUBLJANA,funkcionar,"Nje. eksc. gospa Meira Kumar, predsednica sp. doma indijskega parlamenta",protokolarno,neposredno,40,osebna nestrokovna ocena,svečano odprtje razstave NSK od Kapitala do kapitala. Neue Slowenische Kunst - dogodek zadnjega desetletja Jugoslavije v nacionalnem Muzeju Reina Sofia v Madridu,country,2014-03-31,municipality ljubljana,functionary,"her. exc. mrs. meira kumar, president, sp. home indian parliament",protocol,directly,silk scarf; plaque parliament,personal non-professional assessment,ceremonial opening exhibition nsk capital capital. neue slowenische kunst - event last decade yugoslavia reina sofia national museum madrid,2014-03-31,[],[],2014,3,2014-03,[]
2014-03-31,MINISTRSTVO ZA KMETIJSTVO IN OKOLJE,funkcionar,IZRAELSKI MINISTER ZA KMETIJSTVO,protokolarno,neposredno,40,vrednosti z nestrokovno oceno ni mogoče določiti,uradni obisk delegacije države kuvajt v državnem zboru,organization official holds position,2014-03-31,ministry agriculture environment,functionary,israel's minister agriculture,protocol,directly,silver plated city model,value cannot determined non-expert assessment,official visit delegation state kuwait national assembly,2014-03-31,['israel'],['israel'],2014,3,2014-03,['israel']
2014-03-31,MINISTRSTVO ZA NOTRANJE ZADEVE,funkcionar,"IVAN PRISTOVNIK , UPOKOJENEC",priložnostno,neposredno,40,internet,obisk delegacije na mgrt,organization official holds position,2014-03-31,ministry interior affairs,functionary,"ivan pristvnik, retired",occasional,directly,alcohol test,internet,visit delegation m.sc,2014-03-31,[],[],2014,3,2014-03,[]
2014-03-31,OBČINA SEVNICA,funkcionar,TURISTIČNO DRUŠTVO CERKNICA,priložnostno,neposredno,40,OSEBNA NESTROKOVNA OCENA,SPREJEM V MESTNI HIŠI V KIJEVU,organization official holds position,2014-03-31,sevnica municipality,functionary,tourist association cerknica,occasional,directly,"book - monograph: andreja peklaj, cerknica lake.",personal non-professional assessment,reception city hall kyiv,2014-03-31,[],[],2014,3,2014-03,[]
2014-03-31,URAD VLADE REPUBLIKE SLOVENIJE ZA SLOVENCE V ZAMEJSTVU IN PO SVETU,funkcionar,"izidor pečovnik, Slovenska katoliška misija berlin, Kolonnenstrasse 38, Berlin",priložnostno,neposredno,40,osebna nestrokovna ocena,sprejem veleposlanika v ds,organization official holds position,2014-03-31,office government republic slovenia slovenians zamejstv around world,functionary,"izidor pečovnik, slovenian catholic mission berlin, kolonnenstrasse 38, berlin",occasional,directly,book: erzbistum berlin,personal non-professional assessment,reception ambassador ds,2014-03-31,['berlin'],['berlin'],2014,3,2014-03,['berlin']
2014-04-04,DRŽAVNI SVET REPUBLIKE SLOVENIJE,funkcionar,predsednik sobranja republike makedonije g. trajko veljanoski,protokolarno,neposredno,40,osebna nestrokovna ocena,uradni obisk kuvajtske delegacije v RS,organization official holds position,2014-04-04,state council republic slovenia,functionary,president assembly republic macedonia mr. trajko veljanoski,protocol,directly,medallion,personal non-professional assessment,official visit kuwaiti delegation republic slovenia,2014-04-04,['macedonia'],['macedonia'],2014,4,2014-04,['macedonia']
2014-04-10,KABINET PREDSEDNIKA VLADE REPUBLIKE SLOVENIJE,funkcionar,predsednik Češke republike g. miloš zeman,protokolarno,posredno,40,laično,obisk mednarodnega sejma o kmetijstvu dnevi polja,organization official holds position,2014-04-10,cabinet president government republic slovenia,functionary,president czech republic mr. milos zeman,protocol,indirectly,glass casket lid,layman,visit international fair agriculture days field,2014-04-10,['czech republic'],['czech republic'],2014,4,2014-04,['czech republic']
2014-05-20,KABINET PREDSEDNIKA VLADE REPUBLIKE SLOVENIJE,funkcionar,predstavniki slovenske manjšine na avstrijskem koroškem,priložnostno,neposredno,40,osebna nestrokovna ocena,združenje evropskih senatov v rs,organization official holds position,2014-05-20,cabinet president government republic slovenia,functionary,representatives slovenian minority austrian carinthia,occasional,directly,"book ""...it began thirty years ago"", three cds",personal non-professional assessment,association european senates rs,2014-05-20,[],[],2014,5,2014-05,[]
2014-06-24,KABINET PREDSEDNIKA VLADE REPUBLIKE SLOVENIJE,funkcionar,župan občine zreče mag. boris podvršnik,priložnostno,neposredno,40,osebna nestrokovna ocena,združenje evropskih senatov v rs,organization official holds position,2014-06-24,cabinet president government republic slovenia,functionary,"mayor municipality zreče, mag. boris sub peer",occasional,directly,book poems guide mountain range,personal non-professional assessment,association european senates rs,2014-06-24,[],[],2014,6,2014-06,[]
2014-09-23,KABINET PREDSEDNIKA VLADE REPUBLIKE SLOVENIJE,funkcionar,gz zveze nato anders fogh rasmussen,protokolarno,posredno,40,nestrokovna ocena,obisk predsednika vlade rs na krajevni skupnosti hotiza,country,2014-09-23,cabinet president government republic slovenia,functionary,gz ties anders fogh rasmussen,protocol,indirectly,photo frame,non-professional assessment,visit prime minister rs local community hotiza,2014-09-23,[],[],2014,9,2014-09,[]
2015-01-08,BANKA SLOVENIJE,funkcionar,BULGARIAN NATIONAL BANK,priložnostno,posredno,40,osebna nestrokovna ocena,obisk,local community,2015-01-08,bank slovenia,functionary,bulgarian national bank,occasional,indirectly,"todoroff wine, ivan marazov's book",personal non-professional assessment,visit,2015-01-08,[],[],2015,1,2015-01,[]
2015-01-08,BANKA SLOVENIJE,funkcionar,HRANILNICA VIPAVA,priložnostno,neposredno,40,preverba na spletni strani proizvajalca,uradni obisk predsenika računskega sodišča na vri rusije,organization official holds position,2015-01-08,bank slovenia,functionary,vipava savings bank,occasional,directly,"commemorative coin slovenia, green wine",check manufacturer's website,official visit president court audit russia,2015-01-08,[],[],2015,1,2015-01,[]
2015-01-08,BANKA SLOVENIJE,funkcionar,DELAVSKA HRANILNICA,priložnostno,neposredno,40,lastna presoja,POZORNOST OB OBISKU VARUHA PRI NJIH,organization official holds position,2015-01-08,bank slovenia,functionary,workers' savings bank,occasional,directly,"whiskey chivas, calendar, handbook, merci chocolates",judgment,attention guardian visits,2015-01-08,[],[],2015,1,2015-01,[]
2015-01-12,URAD PREDSEDNIKA REPUBLIKE SLOVENIJE,funkcionar,"ŠEJK FAISAL BIN QASSIM AL THANIJ, PREDSEDNIK QATARI BUSINESSMEN ASSOCIATION",protokolarno,neposredno,40,osebna nestrokovna ocena,Izid knjige,organization official holds position,2015-01-12,office president republic slovenia,functionary,"sheikh faisal bin qassim al thanij, president qatari businessmen association",protocol,directly,glass plaque base,personal non-professional assessment,publication book,2015-01-12,[],[],2015,1,2015-01,[]
2015-01-27,MESTNA OBČINA MARIBOR,funkcionar,"Qu Futian, župan Huaiana/kitajska",protokolarno,posredno,40,nestrokovna ocena,UDELEŽBA PREDSEDNIKA VLADE NA OTVORITVI NOVIH PROIZVODNO-LOGISTIČNIH POVRŠIN PODJETJA ODELO SLOVENIJA,official,2015-01-27,municipality maribor,functionary,"qu futian, mayor huaian/china",protocol,indirectly,painting silk,non-professional assessment,participation president government opening new production logistics areas company odelo slovenia,2015-01-27,['china'],['china'],2015,1,2015-01,['china']
2015-02-09,MESTNA OBČINA LJUBLJANA,funkcionar,ŽUPAN ANKARE,priložnostno,neposredno,40,vrednost preverjena na trgu,udeležba predsednika vlade na otvoritvi novih proizvodno-logističnih površin podjetja odelo slovenija,country,2015-02-09,municipality ljubljana,functionary,mayor ankara,occasional,directly,books ankara - projects (past present),value verified market,participation prime minister opening new production logistics areas company odelo slovenija,2015-02-09,[],[],2015,2,2015-02,[]
