Datum,Naziv,Prejemnik,Darovalec,Tip darila,Način izročitve,Opis,Vrednost,Način določitve vrednosti,Razlog za izročitev,Lastnik darila
2016-06-21,MINISTRSTVO ZA FINANCE,funkcionar,"dr. Tadej Bajd, predsednik SAzu",priložnostno,neposredno,Knjiga Carlo M. Cipolla: Allegro ma non troppo,12,NA PODLAGI RAČUNA,novoletno darilo,funkcionar
2017-04-19,MINISTRSTVO ZA ZUNANJE ZADEVE,funkcionar,"Matti MAASIKAS, NAMESTNIK MINISTRA ZA EU ZADEVE ESTONIJE",priložnostno,neposredno,"Majhna lesena poslikana broška - metulj ""kuma""",12,OSEBNA NESTROKOVNA OCENA,"70.OBLETNICA OSVOBODITVE AUSCHWITZA-BIRKENAU, POLJSKA",država
2019-12-16,OBČINA BENEDIKT,funkcionar,MARIBORSKI VODOVOD D. D.,priložnostno,neposredno,SOK ARONIJE - 2 KOM,12,TRŽNA CENA,priložnostno,lokalna skupnost
2019-12-23,OBČINA BENEDIKT,funkcionar,SAUBERMACHER D. O. O.,priložnostno,neposredno,GIN,12,NA PODLAGI RAČUNA,DARILO OB KONCU MANDATA,funkcionar
2015-12-22,OBČINA BENEDIKT,funkcionar,nigrad d. d. maribor,priložnostno,neposredno,rokovnik,12,NA PODLAGI RAČUNA,DARILO OB KONCU MANDATA,funkcionar
2016-12-30,OBČINA MIKLAVŽ NA DRAVSKEM POLJU,funkcionar,PGD MIKLAVŽ,priložnostno,neposredno,"BUTELJČNO VINO, KOLEDAR ZA LETO 2017, MERCI ČOKOLADA",12,NA PODLAGI RAČUNA,DARILO OB KONCU MANDATA,funkcionar
2018-01-28,OBČINA BENEDIKT,funkcionar,saubermacher d. o. o. murska sobota,priložnostno,neposredno,bonboniera,11,NA PODLAGI RAČUNA,DARILO OB KONCU MANDATA,funkcionar
2018-05-11,DVOJEZIČNA OSNOVNA ŠOLA II LENDAVA - 2. SZ. LENDVAI KÉTNYELVŰ ÁLTALÁNOS ISKOLA,državni organ/lokalna skupnost/nosilec javnih pooblastil,pipinova knjiga,priložnostno,posredno,manica lipoglavšek - knjiga,11,NA PODLAGI RAČUNA,DARILO OB KONCU MANDATA,funkcionar
2015-12-28,OBČINA BENEDIKT,funkcionar,radio slovenske gorice,priložnostno,neposredno,copati,11,NI PODATKA,OBISK POSLANCA RUSKE DUME V SLOVENIJI,"organizacija, v kateri funkcionar opravlja funkcijo"
2020-09-28,MINISTRSTVO ZA GOSPODARSKI RAZVOJ IN TEHNOLOGIJO,funkcionar,kitajski veleposlanik,protokolarno,posredno,"STEKLENICA VINA CHARDONAY, SIMČIČ",11,NI PODATKA,SREČANJE S PREDSEDUJOČIM PREDSTAVNIŠKEGA DOMA PS BIH,"organizacija, v kateri funkcionar opravlja funkcijo"
2014-01-15,OBČINA MEDVODE,funkcionar,Radio Sora,priložnostno,neposredno,kapa,10,osebna nestrokovna ocena,uradni obisk v republiki kosovo,država
2014-01-16,MINISTRSTVO ZA ZUNANJE ZADEVE,funkcionar,veleposlaništvo srbije v rs,priložnostno,posredno,steklenica vina,10,osebna nestrokovna ocena,obisk v domu starejših rakičan,država
2014-02-21,MINISTRSTVO ZA FINANCE,funkcionar,VP Kraljevine belgije v RS,priložnostno,posredno,mali porcelanski krožnik s Kraljevino belgijo,10,osebna nestrokovna ocena,sprejem judo zveze slovenije,država
2014-02-21,MINISTRSTVO ZA FINANCE,funkcionar,jgz BRDO,priložnostno,posredno,MARMELADA 3X 130G,10,osebna nestrokovna ocena,sprejem,država
2014-02-21,MINISTRSTVO ZA FINANCE,funkcionar,Predsedstvo LiTvE EU,protokolarno,neposredno,Kravata,10,preverjena cena na trgu,sprejem jadralcev esimit europe,država
2014-03-18,USTAVNO SODIŠČE REPUBLIKE SLOVENIJE,funkcionar,mohammad rahim aghaeipour,priložnostno,neposredno,brošura god and his attributes,10,osebna nestrokovna ocena,darilo za rojstni dan,država
2014-03-24,VRHOVNO SODIŠČE REPUBLIKE SLOVENIJE,funkcionar,dELEGACIJA RUSKE FEDERACIJE,priložnostno,neposredno,RUTA-MODRE BARVE,10,osebna nestrokovna ocena,kosilo z ustavnimi sodniki ob imenovanju novega predsednika ustavnega sodišča rs,država
2014-03-26,OBČINA SELNICA OB DRAVI,funkcionar,ansambel kuji,priložnostno,neposredno,steklenica vina,10,osebna nestrokovna ocena,sprejem na japonskem veleposlaništvu;udeležba svetovalca predsednika rs,država
2014-03-26,OBČINA SELNICA OB DRAVI,funkcionar,"selinšek ladislav s.p., starše 89 a, 2205 starše",priložnostno,neposredno,steklenica vina,10,osebna nestrokovna ocena,sprejem,država
2015-01-30,VRHOVNO DRŽAVNO TOŽILSTVO REPUBLIKE SLOVENIJE,funkcionar,vrhovno tožilstvo republike azerbajdžanu,protokolarno,neposredno,"okrasna preproga, 50 x 50 cm",10,osebna nestrokovna ocena,sprejem,država
2015-01-30,VRHOVNO DRŽAVNO TOŽILSTVO REPUBLIKE SLOVENIJE,funkcionar,vrhovno tožilstvo republike azerbajdžanu,protokolarno,neposredno,natisnjena modela preproge (plaketa),10,osebna nestrokovna ocena,voščilo ob novem letu,država
2015-03-19,DRŽAVNI ZBOR REPUBLIKE SLOVENIJE,funkcionar,odbor za kmetijstvo parlamenta ciper,priložnostno,neposredno,keramična posodica,10,preverjena cena na trgu,darilo za 50. rojstni dan,država
2015-03-19,Okrajno sodišče v Trebnjem,funkcionar,"mag. bojan majcen, v.d. direktorja Zavoda za prestajanje kazni zapora dob pri mirni, slovenska vas 14, mirna",protokolarno,neposredno,ročno izdelana glinena okrasna vaza izdelana v okviru prostočasnih dejavnosti zapornikov v ZPKZ dob pri mirni,10,preverjena cena na trgu,darilo za 50. rojstni dan,država
2015-03-19,Okrajno sodišče v Trebnjem,funkcionar,"mag. bojan majcen, v.d. direktorja zavoda za prestajanje kazni zapora dob pri mirni, slovenska vas 14, mirna",protokolarno,neposredno,ročno izdelana slika v okviru prostočasnih dejavnosti zapornikov v ZPKZ dob pri mirni,10,preverjena cena na trgu,darilo za 50. rojstni dan,država
2015-03-23,MINISTRSTVO ZA FINANCE,funkcionar,grško predsedstvo eu,protokolarno,neposredno,marmorni krožniček,10,osebna nestrokovna ocena,sprejem za humanitarne organizacije,država
2015-03-30,DRŽAVNI ZBOR REPUBLIKE SLOVENIJE,funkcionar,veleposlanica turčije,priložnostno,posredno,knjiga,10,osebna nestrokovna ocena,sprejem za sportnika leta,država
2015-03-30,DRŽAVNI ZBOR REPUBLIKE SLOVENIJE,funkcionar,"valeius stefan zgonea, predsednik poslanske zbornice romunije",protokolarno,neposredno,plaketa,10,osebna nestrokovna ocena,sprejem,država
2015-03-30,DRŽAVNI ZBOR REPUBLIKE SLOVENIJE,funkcionar,predsednik nacionalnega sveta slovaške republike peter pellegrini,protokolarno,neposredno,knjigo,10,nedoločljiva vrednost,sprejem,država
2015-03-30,DRŽAVNI ZBOR REPUBLIKE SLOVENIJE,funkcionar,predsednik poslanske zbornice romunije valeriu stefan zgonea,priložnostno,neposredno,knjiga in slika v okvirju 10x10cm,10,osebna nestrokovna ocena,/,država
2015-04-13,OBČINA ŽALEC,funkcionar,čebelarska zveza slovenije,priložnostno,neposredno,sadika lipe,10,nestrokovna ocena,vljudnostni obisk,"organizacija, v kateri funkcionar opravlja funkcijo"
2015-05-28,DRŽAVNI ZBOR REPUBLIKE SLOVENIJE,funkcionar,odbor za kmetijstvo skupščine ap vojvodine,protokolarno,neposredno,ženski šal,10,nestrokovna ocena,vljudnostni obisk,"organizacija, v kateri funkcionar opravlja funkcijo"
2015-06-22,DRŽAVNI SVET REPUBLIKE SLOVENIJE,funkcionar,"christine defraigne, predsednica belgijskega senata",priložnostno,neposredno,Obtežilnik,10,nestrokovna ocena,uradni obisk,"organizacija, v kateri funkcionar opravlja funkcijo"
2015-08-26,MESTNA OBČINA LJUBLJANA,funkcionar,"SVETNICA CLAIRE HANNA IN SVETNIK NIALL O DONNAGHAILE, DELEGACIJA MESTNEGA SVETA BELFAST",protokolarno,neposredno,KRISTALNI OBTEŽILNIK ZA PAPIR,10,nestrokovna ocena,uradni obisk,"organizacija, v kateri funkcionar opravlja funkcijo"
2015-10-30,Ministrstvo za gospodarski razvoj in tehnologijo,državni organ/lokalna skupnost/nosilec javnih pooblastil,eVROPSKA VESOLJSKA AGENCIJA,protokolarno,neposredno,FOTOGRAfIJA SATELITA,10,nestrokovna ocena,uradni obisk,"organizacija, v kateri funkcionar opravlja funkcijo"
2015-12-10,"Zavod za šport, turizem, kulturo in mladino Medvode",državni organ/lokalna skupnost/nosilec javnih pooblastil,NAJEMNIK ŠPORTNE DVORANE,priložnostno,neposredno,BUTELJKA VINA,10,nestrokovna ocena,vljudnostni obisk,"organizacija, v kateri funkcionar opravlja funkcijo"
2015-12-22,"Zavod za šport, turizem, kulturo in mladino Medvode",državni organ/lokalna skupnost/nosilec javnih pooblastil,Bodoča mladoporočenca,priložnostno,neposredno,"čokolada gorenjka, mali lonček medu",10,www.irancraftmanshop.com,vljudnostni obisk,"organizacija, v kateri funkcionar opravlja funkcijo"
2016-03-03,DVOJEZIČNA OSNOVNA ŠOLA II LENDAVA II. SZ. LENDVAI KETNYELVU ALTALANOS ISKOLA,državni organ/lokalna skupnost/nosilec javnih pooblastil,DRUŠTVO SPEC. INREHAB. PEDAGOGOV SLOVENIJE,priložnostno,neposredno,KNJIGA,10,nestrokovna ocena,obisk esčp,"organizacija, v kateri funkcionar opravlja funkcijo"
2016-05-10,KABINET PREDSEDNIKA VLADE REPUBLIKE SLOVENIJE,funkcionar,ljubljanski regijski center za ravnanje z odpadki,priložnostno,neposredno,plastična čelada,10,nestrokovna ocena,uradni obisk,"organizacija, v kateri funkcionar opravlja funkcijo"
2016-07-07,MINISTRSTVO ZA ZUNANJE ZADEVE,funkcionar,"VP Ekvadorja, carlos vallejo lopez",protokolarno,neposredno,šatulja,10,nestrokovna ocena,uradni obisk,"organizacija, v kateri funkcionar opravlja funkcijo"
2016-07-11,VRHOVNO SODIŠČE REPUBLIKE SLOVENIJE,funkcionar,Sodni svet Poljske,protokolarno,neposredno,šatulja za liste-usnje,10,nestrokovna ocena,delovni obisk ministra na Russian Arms Expo 2013,"organizacija, v kateri funkcionar opravlja funkcijo"
2016-10-24,MINISTRSTVO ZA FINANCE FINANČNA UPRAVA REPUBLIKE SLOVENIJE,državni organ/lokalna skupnost/nosilec javnih pooblastil,Majda Tomc Marušič,priložnostno,neposredno,bankovec za 10 EUR,10,nestrokovna ocena,delovni obisk M v ZDA,"organizacija, v kateri funkcionar opravlja funkcijo"
2016-11-20,MINISTRSTVO ZA FINANCE,funkcionar,sindikat delavcev migrantov SLOvenije,priložnostno,neposredno,Knjiga: zgodbe delavcev migrantov,10,nestrokovna ocena,delovni obisk ministrav ZDA,"organizacija, v kateri funkcionar opravlja funkcijo"
2016-12-07,DRŽAVNI ZBOR REPUBLIKE SLOVENIJE,funkcionar,delegacija parlamenta republike moldavije,protokolarno,neposredno,spominski krožnik s sliko parlamenta in brošura,10,nestrokovna ocena,uradni obisk minsitra v rusiji,"organizacija, v kateri funkcionar opravlja funkcijo"
2016-12-19,OBČINA SELNICA OB DRAVI,funkcionar,"projekt d.d. nova gorica, kidričeva ulica 9a, 5000 nova gorica",priložnostno,neposredno,steklenica penine,10,nestrokovna ocena,delovni obisk ministra v ZDA,"organizacija, v kateri funkcionar opravlja funkcijo"
2016-12-31,MINISTRSTVO ZA JAVNO UPRAVO,funkcionar,google poljska,priložnostno,posredno,športna kapa z znakom google,10,nestrokovna ocena,poslovilni obisk atašeja,"organizacija, v kateri funkcionar opravlja funkcijo"
2017-02-02,OKROŽNO DRŽAVNO TOŽILSTVO V SLOVENJ GRADCU,državni organ/lokalna skupnost/nosilec javnih pooblastil,DR. ALENKA ŽNIDARŠIČ KRANJC,priložnostno,posredno,KNJIGA DOČAKAL BOŠ POKOJ,10,SPLETNA STRAN,priložnostno ob zaključku leta,lokalna skupnost
2017-03-15,KABINET PREDSEDNIKA VLADE REPUBLIKE SLOVENIJE,funkcionar,predsednik Društva gluhoslepih Slovenije DLAN Anton Polutnik,priložnostno,neposredno,"kip iz gline - portret predsednika vlade, ki ga je izdelal človek z gluhoslepoto",10,na podlagi podatka darovalca,novoletno darilo,lokalna skupnost
2017-07-12,MINISTRSTVO ZA FINANCE,funkcionar,"Nacionalni institut za Biologijo, prof.Tamara lah Turnšek",priložnostno,neposredno,CD.www.h.,10,na podlagi podatka darovalca,Zahvala za uvodni goror na božičnem koncertu,lokalna skupnost
2017-12-15,OBČINA MIKLAVŽ NA DRAVSKEM POLJU,funkcionar,nk miklavž,priložnostno,neposredno,"steklenica vina, koledar, čokolada merci",10,osebno,novoletni obisk,funkcionar
2017-12-28,OBČINA MIKLAVŽ NA DRAVSKEM POLJU,funkcionar,pgd miklavž,protokolarno,neposredno,"vino, koledar, čokoladne kroglice",10,OSEBNA NESTROKOVNA OCENA,OBISK DELEGACIJE NA VRHOVNEM SODIŠČU rs,"organizacija, v kateri funkcionar opravlja funkcijo"
2018-01-15,SODNI SVET REPUBLIKE SLOVENIJE,funkcionar,študijski obisk delegacije sodnikov in funkcionarjev republike litve,priložnostno,neposredno,"nož za odpiranje pisem iz kovine, na koncu zakrivljen z broško iz kamna",10,OSEBNA NESTROKOVNA OCENA,OBISK PREDSEDNIKA VRHOVNEGA SODIŠČA RUSKE FEDERACIJE NA VRHOVNEM SODIŠČU R SLOVENIJE,"organizacija, v kateri funkcionar opravlja funkcijo"
2018-02-11,KABINET PREDSEDNIKA VLADE REPUBLIKE SLOVENIJE,funkcionar,"GOSPOD MILAN DUNOVIĆ, PODPREDSEDNIK VLADE BOSNE IN HERCEGOVINE",priložnostno,neposredno,lesena kocka,10,osebna nestrokovna ocena,obisk predsednika vrhovnega sodišča ruske federacije na vrhovnem sodišču r slovenije,"organizacija, v kateri funkcionar opravlja funkcijo"
2018-03-22,DVOJEZIČNA OSNOVNA ŠOLA II LENDAVA - 2. SZ. LENDVAI KÉTNYELVŰ ÁLTALÁNOS ISKOLA,državni organ/lokalna skupnost/nosilec javnih pooblastil,ekološko kulturno društvo,priložnostno,posredno,miha in ris rožnik,10,nestrokovna ocena,"Udeležba predsednice Vlade Rs »Prešernovem smenju« v Kranju, 8.2.2014",država
2018-04-05,DRŽAVNI ZBOR REPUBLIKE SLOVENIJE,funkcionar,ivica žnidaršič,priložnostno,posredno,"knjiga, nemčija še ni plačala vojne škode, 2018",10,ocena glede na podobne izdelke iste znamke,bilateralno srečanje,država
2018-04-05,DRŽAVNI ZBOR REPUBLIKE SLOVENIJE,funkcionar,ivica žnidaršič,priložnostno,posredno,"knjiga, nemčija še ni plačala vojne škode, 2015",10,osebna nestrokovna ocena,obisk kitajske delegacije na mzip,država
2018-04-05,DRŽAVNI ZBOR REPUBLIKE SLOVENIJE,funkcionar,ivica žnidaršič,priložnostno,posredno,"knjiga, nemčija še ni plačala vojne škode, 2015",10,laična ocena,delovno srečanje,država
2018-04-05,DRŽAVNI ZBOR REPUBLIKE SLOVENIJE,funkcionar,ivica žnidaršič,priložnostno,posredno,"knjiga, nemčija še ni plačaa vojne škode, 2015",10,ocena glede na podobne izdelke,vljudnostni obisk,država
2018-04-05,DRŽAVNI ZBOR REPUBLIKE SLOVENIJE,funkcionar,ivica žnidaršič,priložnostno,posredno,"knjiga, nemčija še ni plačala vojne škode, 2015",10,laična ocena,obisk delegacije na sedežu ministrstva,država
2018-04-05,DRŽAVNI ZBOR REPUBLIKE SLOVENIJE,funkcionar,ivica žnidaršič,priložnostno,posredno,"knjiga, nemčija še ni plačala vojne škode",10,ocena glede na podobne izdelke,delovno srečanje v srbiji,država
2018-04-05,DRŽAVNI ZBOR REPUBLIKE SLOVENIJE,funkcionar,ivica žnidaršič,priložnostno,posredno,"knjiga, nemčija še ni plačala vojne škode, 2015",10,laična ocena,obisk delegacije na sedežu ministrstva,država
2018-04-05,DRŽAVNI ZBOR REPUBLIKE SLOVENIJE,funkcionar,ivica žnidaršič,priložnostno,posredno,"knjiga, nemčija še ni plačala vojne škode, 2015",10,ocena glede na podobne izdelke,vljudnostni obisk,država
2018-04-05,DRŽAVNI ZBOR REPUBLIKE SLOVENIJE,funkcionar,ivica žnidaršič,priložnostno,posredno,"knjiga, nemčija",10,OSEBNA NESTROKOVNA OCENA,SREČANJE - TRADICIONALNI ZBOR LOVCEV BELE KRAJINE,lokalna skupnost
2018-04-05,DRŽAVNI ZBOR REPUBLIKE SLOVENIJE,funkcionar,ivica žnidaršič,priložnostno,posredno,"knjiga, nemčija še ni plačala vojne škode, 2015",10,OSEBNA NESTROKOVNA OCENA NA PODLAGI KATALOGOV DARIL,NOVOLETNA OBDARITEV,funkcionar
2018-04-05,DRŽAVNI ZBOR REPUBLIKE SLOVENIJE,funkcionar,ivica žnidaršič,priložnostno,posredno,"knjiga, nemčija še ni plačala vojne škode, 2015",10,osebna nestrokovna ocena,ob novem letu,funkcionar
2018-04-05,DRŽAVNI ZBOR REPUBLIKE SLOVENIJE,funkcionar,ivica žnidaršič,priložnostno,posredno,"knjiga, nemčija še ni plačala vojne škode, 2015",10,osebna nestrokovna ocena,ob novem letu,funkcionar
2018-04-05,DRŽAVNI ZBOR REPUBLIKE SLOVENIJE,funkcionar,ivica žnidaršič,priložnostno,posredno,"knjiga, nemčija še ni plačala vojne škode, 2015",10,osebna nestrokovna ocena,ob novem letu,funkcionar
2018-04-05,DRŽAVNI ZBOR REPUBLIKE SLOVENIJE,funkcionar,ivica žnidaršič,priložnostno,posredno,"knjiga, nemčija še ni plačala vojne škode, 2015",10,osebna nestrokovna ocena,ob novem letu,funkcionar
2018-04-05,DRŽAVNI ZBOR REPUBLIKE SLOVENIJE,funkcionar,ivica žnidaršič,priložnostno,posredno,"knjiga, nemčija še ni plačala vojne škode, 2015",10,osebna nestrokovna ocena,ob novem letu,funkcionar
2018-04-05,DRŽAVNI ZBOR REPUBLIKE SLOVENIJE,funkcionar,ivica žnidaršič,priložnostno,posredno,"knjiga, nemčija še ni plačala vojne škode, 2015",10,osebna nestrokovna ocena,ob novem letu,funkcionar
2018-04-05,DRŽAVNI ZBOR REPUBLIKE SLOVENIJE,funkcionar,ivica žnidaršič,priložnostno,posredno,"knjiga, nemčija še ni plačala vojne škode, 2015",10,osebna osebna nestrokovna ocena,ob novem letu,funkcionar
2018-04-05,DRŽAVNI ZBOR REPUBLIKE SLOVENIJE,funkcionar,ivica žnidaršič,priložnostno,posredno,"knjiga, nemčija še ni plačala vojne škode, 2015",10,osebna nestrokovna ocena,ob novem letu,funkcionar
2018-04-05,DRŽAVNI ZBOR REPUBLIKE SLOVENIJE,funkcionar,ivica žnidaršič,priložnostno,posredno,"knjiga, nemčija še ni plačala vojne škode, 2015",10,"poklicala na občino videm, za oceno vrednosti darila",obisk načelnice ue ptuj na krajevnem uradu videm in obisk župana občine videm,"organizacija, v kateri funkcionar opravlja funkcijo"
2018-04-05,DRŽAVNI ZBOR REPUBLIKE SLOVENIJE,funkcionar,ivica žnidaršič,priložnostno,posredno,"knjiga, nemčija še ni plačala vojne škode, 2015",10,osebna nestrokovna oseba,darilo ob dnevu azerbajdžanske kulture v novi gorici,lokalna skupnost
2018-04-05,DRŽAVNI ZBOR REPUBLIKE SLOVENIJE,funkcionar,ivica žnidaršič,priložnostno,posredno,"knjiga, nemčija še ni plačala vojne škode, 2015",10,osebna nestrokovna ocena,darilo ob obisku v novi gorici,lokalna skupnost
2018-10-12,KABINET PREDSEDNIKA VLADE REPUBLIKE SLOVENIJE,funkcionar,vodstvo stasi museuma,priložnostno,neposredno,podstavek,10,NA PODLAGI OCENE DAROVALCA,RAZSTAVA EX-TEMPORE POSTOJNA 2013,funkcionar
2018-10-17,DVOJEZIČNA OSNOVNA ŠOLA II LENDAVA - 2. SZ. LENDVAI KÉTNYELVŰ ÁLTALÁNOS ISKOLA,državni organ/lokalna skupnost/nosilec javnih pooblastil,CENTER ZA SLUH IN GOVOR PORTOROŽ,priložnostno,posredno,RAZNE KNJIGE ZA ŠOLSKO KNJIŽNICO,10,NA PODLAGI OCENE DAROVALKE,SLIKARSKA RAZSTAVA,funkcionar
2018-11-06,MINISTRSTVO ZA FINANCE,funkcionar,"češka ministrica za finance, alena schillerová",priložnostno,neposredno,priložnostni kovanec za 10€.,10,NI PODATKA,OBISK PDZ V RUSIJI,"organizacija, v kateri funkcionar opravlja funkcijo"
2018-12-04,MINISTRSTVO ZA FINANCE,funkcionar,"španska ministrica za finance, nadia calvino",priložnostno,posredno,priložnostni kovanec za 10€.,10,NI PODATKA,OBISK PDZ V RUSIJI,"organizacija, v kateri funkcionar opravlja funkcijo"
2018-12-06,OBČINA SVETI JURIJ V SLOVENSKIH GORICAH,funkcionar,OBČINA SV. JURIJ V SLOV. GORICAH,priložnostno,neposredno,SVETNIŠKI ZNAK,10,NI PODATKA,OBISK PREDSEDNIKA DZ V RUSIJI,"organizacija, v kateri funkcionar opravlja funkcijo"
2018-12-06,OBČINA SVETI JURIJ V SLOVENSKIH GORICAH,funkcionar,OBČINA SV. JURIJ V SLOV. GORICAH,priložnostno,neposredno,SVETNIŠKI ZNAK,10,NI PODATKA,OBISK PREDSEDNIKA VLADE MAKEDONIJE V SLOVENIJI,"organizacija, v kateri funkcionar opravlja funkcijo"
2018-12-06,OBČINA SVETI JURIJ V SLOVENSKIH GORICAH,funkcionar,OBČINA SV. JURIJ V SLOV. GORICAH,priložnostno,neposredno,SVETNIŠKI ZNAK,10,NI PODATKA,OBISK POSLANCA BUNDESTAGA V SLOVENIJI,"organizacija, v kateri funkcionar opravlja funkcijo"
2018-12-06,OBČINA SVETI JURIJ V SLOVENSKIH GORICAH,funkcionar,OBČINA SV. JURIJ V SLOV. GORICAH,priložnostno,neposredno,SVETNIŠKI ZNAK,10,NI PODATKA,OBISK NAMESTNIKA PREDSEDUJOČEGA SVETA MINISTROV IN MINISTRA ZA ZUNANJE ZADEVE V SLOVENIJI,"organizacija, v kateri funkcionar opravlja funkcijo"
2018-12-06,OBČINA SVETI JURIJ V SLOVENSKIH GORICAH,funkcionar,OBČINA SV. JURIJ V SLOV. GORICAH,priložnostno,neposredno,SVETNIŠKI ZNAK,10,NI PODATKA,OBISK PDZ V VELIKI BRITANIJI,"organizacija, v kateri funkcionar opravlja funkcijo"
2018-12-06,OBČINA SVETI JURIJ V SLOVENSKIH GORICAH,funkcionar,OBČINA SV. JURIJ V SLOV. GORICAH,priložnostno,neposredno,SVETNIŠKI ZNAK,10,NI PODATKA,OBISK PDZ V VELIKI BRITANIJI,"organizacija, v kateri funkcionar opravlja funkcijo"
2018-12-06,OBČINA SVETI JURIJ V SLOVENSKIH GORICAH,funkcionar,OBČINA SV. JURIJ V SLOV. GORICAH,priložnostno,neposredno,SVETNIŠKI ZNAK,10,NI PODATKA,OBISK PDZ V BIH,"organizacija, v kateri funkcionar opravlja funkcijo"
2018-12-06,OBČINA SVETI JURIJ V SLOVENSKIH GORICAH,funkcionar,OBČINA SV. JURIJ V SLOV. GORICAH,priložnostno,neposredno,SVETNIŠKI ZNAK,10,NI PODATKA,OBISK PDZ V BIH,"organizacija, v kateri funkcionar opravlja funkcijo"
2018-12-06,OBČINA SVETI JURIJ V SLOVENSKIH GORICAH,funkcionar,OBČINA SV. JURIJ V SLOV. GORICAH,priložnostno,neposredno,SVETNIŠKI ZNAK,10,NI PODATKA,OBISK PDZ V BIH,"organizacija, v kateri funkcionar opravlja funkcijo"
2018-12-20,OBČINA SELNICA OB DRAVI,funkcionar,"plinarna maribor d.o. o., plinarniška ulica 9, 2000 maribor",priložnostno,neposredno,steklenica vina,10,NI PODATKA,OBISK PDZ V BIH,"organizacija, v kateri funkcionar opravlja funkcijo"
2018-12-23,OBČINA SELNICA OB DRAVI,funkcionar,"voglar darko s.p., razlagova ul. 27, 2000 maribor",priložnostno,neposredno,steklenica vina,10,NI PODATKA,OBISK PDZ NA MADŽARSKEM,"organizacija, v kateri funkcionar opravlja funkcijo"
2019-02-04,DVOJEZIČNA OSNOVNA ŠOLA I LENDAVA I. SZ. LENDVAI KETNYELVU ALTALANOS ISKOLA,državni organ/lokalna skupnost/nosilec javnih pooblastil,"SKLAD ZA PODPORO KNJIŽNIC R MADŽARSKE, BUDIMPEŠTA, MADŽARSKA",priložnostno,posredno,KNJIGE,10,NI PODATKA,OBISK PDZ NA MADŽARSKEM,"organizacija, v kateri funkcionar opravlja funkcijo"
2019-10-11,DVOJEZIČNA OSNOVNA ŠOLA II LENDAVA - 2. SZ. LENDVAI KÉTNYELVŰ ÁLTALÁNOS ISKOLA,državni organ/lokalna skupnost/nosilec javnih pooblastil,PROJEKR RASTEM S KNJIGO,protokolarno,posredno,ZBIRKA TREH KNJIG ZA KNJIŽNICO,10,NI PODATKA,OBISK PDZ NA MADŽARSKEM,"organizacija, v kateri funkcionar opravlja funkcijo"
2019-11-22,DRŽAVNI ZBOR REPUBLIKE SLOVENIJE,funkcionar,dr. miro haček,priložnostno,neposredno,knjiga,10,NI PODATKA,OBISK PDZ NA MADŽARSKEM,"organizacija, v kateri funkcionar opravlja funkcijo"
2019-12-20,OBČINA SELNICA OB DRAVI,funkcionar,"radio slovenske gorice d. o. o., jurovska cesta 21, 2230 lenart v slovenskih goricah",priložnostno,neposredno,steklenica vina,10,NI PODATKA,OBISK DELEGACIJE SKUPINE PRIJATELJSTVA S SLOVENIJO ISLAMSKE POSVETOVALNE SKUPŠČINE IRAN V SLOVENIJI,"organizacija, v kateri funkcionar opravlja funkcijo"
2015-03-23,REPUBLIKA SLOVENIJA UPRAVNA ENOTA KRANJ,državni organ/lokalna skupnost/nosilec javnih pooblastil,"ALOJZ ŠTIRN, BRITOF 255, KRANJ",priložnostno,neposredno,SLIKA: PIRANSKE STREHE,10,OSEBNA NESTROKOVNA OCENA,OBISK/SESTANEK Z ŽUPANOM V MESTU BECHYNE,Prejemnika
2015-03-23,REPUBLIKA SLOVENIJA UPRAVNA ENOTA KRANJ,državni organ/lokalna skupnost/nosilec javnih pooblastil,"ALOJZ ŠTIRN, BRITOF 255, KRANJ",priložnostno,neposredno,SLIKA: UMAG PELEGRIN,10,nestrokovna ocena,obisk pri seu,Subjekta javnega sektorja (delodajalca)
2015-03-23,REPUBLIKA SLOVENIJA UPRAVNA ENOTA KRANJ,državni organ/lokalna skupnost/nosilec javnih pooblastil,"ALOJZ ŠTIRN, BRITOF 255, KRANJ",priložnostno,neposredno,SLIKA: ODSEV V VODI - BRDO,10,pregled cen dostopnih na spletu v različnih galerijah po sloveniji,praznovanje 50. obletnice pokrajinskega arhiva v novi gorici,Subjekta javnega sektorja (delodajalca)
2015-03-23,REPUBLIKA SLOVENIJA UPRAVNA ENOTA KRANJ,državni organ/lokalna skupnost/nosilec javnih pooblastil,"ALOJZ ŠTIRN, BRITOF 255, KRANJ",priložnostno,neposredno,SLIKA: TRIGLAV,10,ceNA OBJAVLJENA NA SPLETNI STRANI,10.OBLETNICA zDRUŽENJA STALNIH SODNIH TOLMAČEV IN PRAVNIH PREVAJALCEV sLOVENIJE scit,Subjekta javnega sektorja (delodajalca)
2015-03-23,REPUBLIKA SLOVENIJA UPRAVNA ENOTA KRANJ,državni organ/lokalna skupnost/nosilec javnih pooblastil,"ALOJZ ŠTIRN, BRITOF 255, KRANJ",priložnostno,neposredno,SLIKA: RAJ POD STORŽIČEM,10,NA PODLAGI PODATKA DAROVALCA,JUBILEJ,Prejemnika
2015-03-23,REPUBLIKA SLOVENIJA UPRAVNA ENOTA KRANJ,državni organ/lokalna skupnost/nosilec javnih pooblastil,"ALOJZ ŠTIRN, BRITOF 255, KRANJ",priložnostno,neposredno,SLIKA: SAVUDRIJA,10,na podlagi podatka darovalca,jubilej,Prejemnika
